DATE,JTUJOL
2000-12-01,4391
2001-01-01,5569
2001-02-01,4443
2001-03-01,4465
2001-04-01,5213
2001-05-01,4515
2001-06-01,4162
2001-07-01,4778
2001-08-01,4143
2001-09-01,3960
2001-10-01,3872
2001-11-01,3132
2001-12-01,3059
2002-01-01,3930
2002-02-01,3176
2002-03-01,3458
2002-04-01,3781
2002-05-01,3575
2002-06-01,3259
2002-07-01,3676
2002-08-01,3504
2002-09-01,3307
2002-10-01,3800
2002-11-01,3157
2002-12-01,2634
2003-01-01,3953
2003-02-01,3192
2003-03-01,2981
2003-04-01,3641
2003-05-01,3205
2003-06-01,3235
2003-07-01,3517
2003-08-01,3293
2003-09-01,3068
2003-10-01,3461
2003-11-01,2924
2003-12-01,2917
2004-01-01,3585
2004-02-01,3223
2004-03-01,3312
2004-04-01,3922
2004-05-01,3643
2004-06-01,3317
2004-07-01,4177
2004-08-01,3637
2004-09-01,3714
2004-10-01,4047
2004-11-01,3005
2004-12-01,3342
2005-01-01,3775
2005-02-01,3669
2005-03-01,3767
2005-04-01,4538
2005-05-01,3879
2005-06-01,3908
2005-07-01,4580
2005-08-01,4096
2005-09-01,4204
2005-10-01,4524
2005-11-01,3989
2005-12-01,3770
2006-01-01,4412
2006-02-01,4049
2006-03-01,4409
2006-04-01,4975
2006-05-01,4388
2006-06-01,4256
2006-07-01,4401
2006-08-01,4587
2006-09-01,4491
2006-10-01,4690
2006-11-01,4113
2006-12-01,3999
2007-01-01,4717
2007-02-01,4288
2007-03-01,4583
2007-04-01,5070
2007-05-01,4564
2007-06-01,4532
2007-07-01,4727
2007-08-01,4586
2007-09-01,4504
2007-10-01,4482
2007-11-01,3943
2007-12-01,3860
2008-01-01,4366
2008-02-01,3863
2008-03-01,3920
2008-04-01,4317
2008-05-01,3974
2008-06-01,3721
2008-07-01,4040
2008-08-01,3699
2008-09-01,3274
2008-10-01,3451
2008-11-01,2769
2008-12-01,2571
2009-01-01,2868
2009-02-01,2632
2009-03-01,2429
2009-04-01,2533
2009-05-01,2427
2009-06-01,2408
2009-07-01,2373
2009-08-01,2356
2009-09-01,2493
2009-10-01,2553
2009-11-01,2164
2009-12-01,2145
2010-01-01,2744
2010-02-01,2435
2010-03-01,2610
2010-04-01,3408
2010-05-01,2893
2010-06-01,2662
2010-07-01,3137
2010-08-01,2961
2010-09-01,2789
2010-10-01,3194
2010-11-01,2710
2010-12-01,2553
2011-01-01,3036
2011-02-01,2906
2011-03-01,3081
2011-04-01,3486
2011-05-01,3110
2011-06-01,3234
2011-07-01,3647
2011-08-01,3236
2011-09-01,3505
2011-10-01,3594
2011-11-01,2935
2011-12-01,3048
2012-01-01,3769
2012-02-01,3341
2012-03-01,3796
2012-04-01,3893
2012-05-01,3692
2012-06-01,3791
2012-07-01,3901
2012-08-01,3738
2012-09-01,3542
2012-10-01,3906
2012-11-01,3303
2012-12-01,3213
2013-01-01,3796
2013-02-01,3788
2013-03-01,3854
2013-04-01,4209
2013-05-01,3873
2013-06-01,3912
2013-07-01,4117
2013-08-01,4036
2013-09-01,3975
2013-10-01,4318
2013-11-01,3615
2013-12-01,3371
2014-01-01,3957
2014-02-01,3946
2014-03-01,4156
2014-04-01,4844
2014-05-01,4607
2014-06-01,4665
2014-07-01,4890
2014-08-01,5098
2014-09-01,4639
2014-10-01,5146
2014-11-01,4453
2014-12-01,4398
2015-01-01,5068
2015-02-01,4958
2015-03-01,5116
2015-04-01,5933
2015-05-01,5428
2015-06-01,5145
2015-07-01,6168
2015-08-01,5531
2015-09-01,5423
2015-10-01,5737
2015-11-01,4969
2015-12-01,4961
2016-01-01,5679
2016-02-01,5412
2016-03-01,5827
2016-04-01,5951
2016-05-01,5591
2016-06-01,5467
2016-07-01,6254
2016-08-01,5581
2016-09-01,5676
2016-10-01,5853
2016-11-01,5379
2016-12-01,5116
2017-01-01,5557
2017-02-01,5500
2017-03-01,5723
2017-04-01,6312
2017-05-01,5665
