DATE,JTSQUL
2000-12-01,3012
2001-01-01,3448
2001-02-01,3241
2001-03-01,3154
2001-04-01,3214
2001-05-01,3085
2001-06-01,3003
2001-07-01,2959
2001-08-01,2869
2001-09-01,2738
2001-10-01,2861
2001-11-01,2604
2001-12-01,2531
2002-01-01,2888
2002-02-01,2626
2002-03-01,2491
2002-04-01,2713
2002-05-01,2699
2002-06-01,2613
2002-07-01,2710
2002-08-01,2649
2002-09-01,2626
2002-10-01,2578
2002-11-01,2462
2002-12-01,2565
2003-01-01,2514
2003-02-01,2471
2003-03-01,2403
2003-04-01,2406
2003-05-01,2380
2003-06-01,2382
2003-07-01,2390
2003-08-01,2406
2003-09-01,2479
2003-10-01,2529
2003-11-01,2459
2003-12-01,2472
2004-01-01,2436
2004-02-01,2443
2004-03-01,2608
2004-04-01,2664
2004-05-01,2467
2004-06-01,2679
2004-07-01,2714
2004-08-01,2691
2004-09-01,2586
2004-10-01,2661
2004-11-01,2811
2004-12-01,2700
2005-01-01,2844
2005-02-01,2660
2005-03-01,2841
2005-04-01,2801
2005-05-01,2882
2005-06-01,2821
2005-07-01,2794
2005-08-01,2966
2005-09-01,3053
2005-10-01,2967
2005-11-01,2920
2005-12-01,2805
2006-01-01,2954
2006-02-01,2975
2006-03-01,3004
2006-04-01,2789
2006-05-01,3056
2006-06-01,3050
2006-07-01,2977
2006-08-01,3003
2006-09-01,2940
2006-10-01,2931
2006-11-01,3069
2006-12-01,3046
2007-01-01,2988
2007-02-01,2993
2007-03-01,2989
2007-04-01,2901
2007-05-01,3008
2007-06-01,2841
2007-07-01,2947
2007-08-01,2950
2007-09-01,2643
2007-10-01,2884
2007-11-01,2777
2007-12-01,2792
2008-01-01,2831
2008-02-01,2789
2008-03-01,2575
2008-04-01,2882
2008-05-01,2602
2008-06-01,2662
2008-07-01,2550
2008-08-01,2416
2008-09-01,2446
2008-10-01,2412
2008-11-01,2063
2008-12-01,2104
2009-01-01,2043
2009-02-01,1906
2009-03-01,1794
2009-04-01,1734
2009-05-01,1740
2009-06-01,1782
2009-07-01,1726
2009-08-01,1676
2009-09-01,1639
2009-10-01,1671
2009-11-01,1784
2009-12-01,1697
2010-01-01,1668
2010-02-01,1724
2010-03-01,1793
2010-04-01,1914
2010-05-01,1790
2010-06-01,1940
2010-07-01,1848
2010-08-01,1904
2010-09-01,1921
2010-10-01,1852
2010-11-01,1778
2010-12-01,1937
2011-01-01,1825
2011-02-01,1872
2011-03-01,1967
2011-04-01,1925
2011-05-01,2037
2011-06-01,1949
2011-07-01,1981
2011-08-01,2087
2011-09-01,2046
2011-10-01,1953
2011-11-01,1949
2011-12-01,1955
2012-01-01,1977
2012-02-01,2080
2012-03-01,2164
2012-04-01,2104
2012-05-01,2186
2012-06-01,2186
2012-07-01,2103
2012-08-01,2173
2012-09-01,1977
2012-10-01,2047
2012-11-01,2069
2012-12-01,2088
2013-01-01,2297
2013-02-01,2250
2013-03-01,2083
2013-04-01,2307
2013-05-01,2253
2013-06-01,2245
2013-07-01,2364
2013-08-01,2385
2013-09-01,2404
2013-10-01,2415
2013-11-01,2372
2013-12-01,2287
2014-01-01,2348
2014-02-01,2403
2014-03-01,2431
2014-04-01,2461
2014-05-01,2517
2014-06-01,2476
2014-07-01,2580
2014-08-01,2538
2014-09-01,2798
2014-10-01,2774
2014-11-01,2633
2014-12-01,2634
2015-01-01,2759
2015-02-01,2682
2015-03-01,2736
2015-04-01,2718
2015-05-01,2750
2015-06-01,2789
2015-07-01,2777
2015-08-01,2865
2015-09-01,2794
2015-10-01,2835
2015-11-01,2923
2015-12-01,3122
2016-01-01,2894
2016-02-01,2984
2016-03-01,2932
2016-04-01,2902
2016-05-01,3005
2016-06-01,2980
2016-07-01,3031
2016-08-01,3048
2016-09-01,3076
2016-10-01,3078
2016-11-01,3080
2016-12-01,3085
2017-01-01,3186
2017-02-01,3036
2017-03-01,3138
2017-04-01,3044
2017-05-01,3206
2017-06-01,3134
