DATE,JTSJOL
2001-01-01,5385
2001-02-01,4658
2001-03-01,4563
2001-04-01,4901
2001-05-01,4550
2001-06-01,4280
2001-07-01,4499
2001-08-01,4134
2001-09-01,3975
2001-10-01,3605
2001-11-01,3387
2001-12-01,3385
2002-01-01,3759
2002-02-01,3372
2002-03-01,3551
2002-04-01,3472
2002-05-01,3596
2002-06-01,3365
2002-07-01,3411
2002-08-01,3490
2002-09-01,3308
2002-10-01,3535
2002-11-01,3415
2002-12-01,2943
2003-01-01,3824
2003-02-01,3381
2003-03-01,3052
2003-04-01,3340
2003-05-01,3233
2003-06-01,3334
2003-07-01,3270
2003-08-01,3283
2003-09-01,3074
2003-10-01,3205
2003-11-01,3157
2003-12-01,3214
2004-01-01,3459
2004-02-01,3402
2004-03-01,3380
2004-04-01,3629
2004-05-01,3660
2004-06-01,3424
2004-07-01,3934
2004-08-01,3619
2004-09-01,3742
2004-10-01,3792
2004-11-01,3238
2004-12-01,3650
2005-01-01,3670
2005-02-01,3845
2005-03-01,3831
2005-04-01,4243
2005-05-01,3884
2005-06-01,4022
2005-07-01,4319
2005-08-01,4073
2005-09-01,4237
2005-10-01,4277
2005-11-01,4220
2005-12-01,4064
2006-01-01,4298
2006-02-01,4229
2006-03-01,4493
2006-04-01,4680
2006-05-01,4389
2006-06-01,4349
2006-07-01,4154
2006-08-01,4560
2006-09-01,4516
2006-10-01,4472
2006-11-01,4341
2006-12-01,4278
2007-01-01,4630
2007-02-01,4465
2007-03-01,4666
2007-04-01,4824
2007-05-01,4550
2007-06-01,4608
2007-07-01,4490
2007-08-01,4555
2007-09-01,4523
2007-10-01,4300
2007-11-01,4156
2007-12-01,4123
2008-01-01,4260
2008-02-01,4042
2008-03-01,4001
2008-04-01,4098
2008-05-01,3960
2008-06-01,3767
2008-07-01,3821
2008-08-01,3665
2008-09-01,3264
2008-10-01,3292
2008-11-01,2956
2008-12-01,2830
2009-01-01,2767
2009-02-01,2791
2009-03-01,2491
2009-04-01,2357
2009-05-01,2427
2009-06-01,2428
2009-07-01,2196
2009-08-01,2306
2009-09-01,2478
2009-10-01,2400
2009-11-01,2350
2009-12-01,2407
2010-01-01,2636
2010-02-01,2578
2010-03-01,2666
2010-04-01,3220
2010-05-01,2891
2010-06-01,2664
2010-07-01,2965
2010-08-01,2920
2010-09-01,2767
2010-10-01,3033
2010-11-01,2914
2010-12-01,2857
2011-01-01,2939
2011-02-01,3056
2011-03-01,3130
2011-04-01,3287
2011-05-01,3114
2011-06-01,3224
2011-07-01,3475
2011-08-01,3168
2011-09-01,3495
2011-10-01,3421
2011-11-01,3153
2011-12-01,3369
2012-01-01,3725
2012-02-01,3500
2012-03-01,3831
2012-04-01,3643
2012-05-01,3694
2012-06-01,3799
2012-07-01,3694
2012-08-01,3683
2012-09-01,3521
2012-10-01,3708
2012-11-01,3521
2012-12-01,3570
2013-01-01,3790
2013-02-01,3974
2013-03-01,3872
2013-04-01,3951
2013-05-01,3873
2013-06-01,3924
2013-07-01,3896
2013-08-01,3968
2013-09-01,3959
2013-10-01,4105
2013-11-01,3837
2013-12-01,3742
2014-01-01,3980
2014-02-01,4101
2014-03-01,4167
2014-04-01,4569
2014-05-01,4594
2014-06-01,4680
2014-07-01,4648
2014-08-01,5026
2014-09-01,4625
2014-10-01,4906
2014-11-01,4684
2014-12-01,4795
2015-01-01,5104
2015-02-01,5124
2015-03-01,5125
2015-04-01,5632
2015-05-01,5421
2015-06-01,5189
2015-07-01,5891
2015-08-01,5445
2015-09-01,5414
2015-10-01,5484
2015-11-01,5221
2015-12-01,5374
2016-01-01,5713
2016-02-01,5566
2016-03-01,5852
2016-04-01,5643
2016-05-01,5582
2016-06-01,5535
2016-07-01,5973
2016-08-01,5491
2016-09-01,5666
2016-10-01,5587
2016-11-01,5631
2016-12-01,5539
