DATE,FRBKCLMCIM
1992-01-01,-1.90868
1992-02-01,-1.53162
1992-03-01,-1.06826
1992-04-01,-0.61890
1992-05-01,-0.16331
1992-06-01,-0.36652
1992-07-01,-0.88644
1992-08-01,-0.78823
1992-09-01,-0.72937
1992-10-01,-0.60221
1992-11-01,-0.15764
1992-12-01,0.11328
1993-01-01,0.23540
1993-02-01,0.24851
1993-03-01,-0.15718
1993-04-01,0.02644
1993-05-01,-0.12544
1993-06-01,0.04029
1993-07-01,-0.51196
1993-08-01,-0.36099
1993-09-01,-0.22027
1993-10-01,-0.37210
1993-11-01,-0.06213
1993-12-01,0.31868
1994-01-01,0.04275
1994-02-01,0.09135
1994-03-01,0.63048
1994-04-01,0.71845
1994-05-01,0.87695
1994-06-01,0.51069
1994-07-01,0.71231
1994-08-01,0.38031
1994-09-01,0.43630
1994-10-01,0.30153
1994-11-01,0.60014
1994-12-01,0.35173
1995-01-01,0.51791
1995-02-01,0.21912
1995-03-01,0.05113
1995-04-01,-0.04352
1995-05-01,-0.42094
1995-06-01,-0.31845
1995-07-01,-0.33162
1995-08-01,-0.04067
1995-09-01,-0.00833
1995-10-01,-0.09114
1995-11-01,-0.16734
1995-12-01,-0.25240
1996-01-01,-1.17622
1996-02-01,-0.30041
1996-03-01,-0.13646
1996-04-01,0.40906
1996-05-01,0.11555
1996-06-01,0.20234
1996-07-01,0.30000
1996-08-01,0.39167
1996-09-01,0.18579
1996-10-01,0.12836
1996-11-01,0.17999
1996-12-01,0.25138
1997-01-01,0.21959
1997-02-01,0.31980
1997-03-01,0.42959
1997-04-01,0.75492
1997-05-01,0.75252
1997-06-01,0.50088
1997-07-01,0.55822
1997-08-01,0.29343
1997-09-01,0.71957
1997-10-01,0.41104
1997-11-01,0.59922
1997-12-01,0.47381
1998-01-01,0.49494
1998-02-01,0.53821
1998-03-01,0.36357
1998-04-01,0.28935
1998-05-01,0.44834
1998-06-01,0.36782
1998-07-01,0.25178
1998-08-01,0.23535
1998-09-01,-0.09958
1998-10-01,-0.18154
1998-11-01,-0.00014
1998-12-01,-0.05806
1999-01-01,-0.06301
1999-02-01,0.25824
1999-03-01,0.03579
1999-04-01,0.43866
1999-05-01,0.20034
1999-06-01,0.55472
1999-07-01,0.31855
1999-08-01,0.38963
1999-09-01,0.19516
1999-10-01,0.57274
1999-11-01,0.61836
1999-12-01,1.05717
2000-01-01,0.60310
2000-02-01,0.46427
2000-03-01,0.32877
2000-04-01,0.53041
2000-05-01,0.47994
2000-06-01,0.18531
2000-07-01,0.09495
2000-08-01,0.10961
2000-09-01,0.20726
2000-10-01,-0.10076
2000-11-01,-0.13099
2000-12-01,-1.04319
2001-01-01,-1.17209
2001-02-01,-1.62410
2001-03-01,-1.62206
2001-04-01,-2.17947
2001-05-01,-1.68555
2001-06-01,-1.85624
2001-07-01,-1.81809
2001-08-01,-1.52602
2001-09-01,-2.33445
2001-10-01,-2.86902
2001-11-01,-2.52199
2001-12-01,-1.86318
2002-01-01,-1.69202
2002-02-01,-1.03006
2002-03-01,-0.47513
2002-04-01,-0.36624
2002-05-01,-0.30229
2002-06-01,-0.43223
2002-07-01,-0.92271
2002-08-01,-0.87671
2002-09-01,-0.79393
2002-10-01,-1.15947
2002-11-01,-1.06108
2002-12-01,-0.92467
2003-01-01,-1.00957
2003-02-01,-1.45573
2003-03-01,-1.23036
2003-04-01,-1.34882
2003-05-01,-0.55009
2003-06-01,-0.36916
2003-07-01,-0.30700
2003-08-01,-0.20768
2003-09-01,-0.27720
2003-10-01,-0.30974
2003-11-01,0.14454
2003-12-01,0.46229
2004-01-01,0.30450
2004-02-01,0.22824
2004-03-01,0.44271
2004-04-01,0.51798
2004-05-01,0.77491
2004-06-01,0.73353
2004-07-01,0.67726
2004-08-01,0.38474
2004-09-01,0.44656
2004-10-01,0.46399
2004-11-01,0.35631
2004-12-01,0.29518
2005-01-01,0.23248
2005-02-01,0.36017
2005-03-01,0.26808
2005-04-01,0.39607
2005-05-01,0.10514
2005-06-01,0.16102
2005-07-01,0.11799
2005-08-01,0.29055
2005-09-01,-0.03876
2005-10-01,-0.11960
2005-11-01,0.24948
2005-12-01,-0.08100
2006-01-01,0.22631
2006-02-01,0.05555
2006-03-01,0.18029
2006-04-01,0.15515
2006-05-01,0.02848
2006-06-01,-0.15058
2006-07-01,-0.01611
2006-08-01,-0.10475
2006-09-01,-0.21383
2006-10-01,-0.14855
2006-11-01,-0.20314
2006-12-01,-0.13911
2007-01-01,0.09455
2007-02-01,-0.18894
2007-03-01,-0.01062
2007-04-01,-0.15098
2007-05-01,-0.03816
2007-06-01,-0.15392
2007-07-01,-0.22217
2007-08-01,-0.38972
2007-09-01,-0.38622
2007-10-01,-0.34240
2007-11-01,-0.50120
2007-12-01,-0.46092
2008-01-01,-0.82111
2008-02-01,-1.09571
2008-03-01,-1.25509
2008-04-01,-1.50925
2008-05-01,-1.66960
2008-06-01,-1.83011
2008-07-01,-1.88887
2008-08-01,-1.69004
2008-09-01,-1.85209
2008-10-01,-2.82804
2008-11-01,-3.52698
2008-12-01,-3.99642
2009-01-01,-4.29868
2009-02-01,-4.32262
2009-03-01,-4.07773
2009-04-01,-3.41338
2009-05-01,-2.66729
2009-06-01,-2.10765
2009-07-01,-1.58174
2009-08-01,-1.28616
2009-09-01,-0.74934
2009-10-01,-0.75641
2009-11-01,-0.33415
2009-12-01,-0.01800
2010-01-01,0.31063
2010-02-01,0.02449
2010-03-01,0.25950
2010-04-01,0.54244
2010-05-01,0.84355
2010-06-01,0.53395
2010-07-01,0.36898
2010-08-01,0.47707
2010-09-01,0.40969
2010-10-01,0.55275
2010-11-01,0.67062
2010-12-01,0.89960
2011-01-01,0.66598
2011-02-01,1.04245
2011-03-01,0.86851
2011-04-01,1.08385
