DATE,A939RX0Q048SBEA
1990-01-01,35941
1990-04-01,35968
1990-07-01,35850
1990-10-01,35419
1991-01-01,35145
1991-04-01,35305
1991-07-01,35348
1991-10-01,35381
1992-01-01,35694
1992-04-01,35968
1992-07-01,36184
1992-10-01,36420
1993-01-01,36381
1993-04-01,36486
1993-07-01,36539
1993-10-01,36909
1994-01-01,37171
1994-04-01,37569
1994-07-01,37669
1994-10-01,37980
1995-01-01,38008
1995-04-01,38033
1995-07-01,38235
1995-10-01,38389
1996-01-01,38544
1996-04-01,39106
1996-07-01,39340
1996-10-01,39629
1997-01-01,39825
1997-04-01,40311
1997-07-01,40689
1997-10-01,40877
1998-01-01,41176
1998-04-01,41461
1998-07-01,41873
1998-10-01,42432
1999-01-01,42663
1999-04-01,42897
1999-07-01,43299
1999-10-01,43919
2000-01-01,43935
2000-04-01,44654
2000-07-01,44586
2000-10-01,44721
2001-01-01,44492
2001-04-01,44623
2001-07-01,44366
2001-10-01,44376
2002-01-01,44687
2002-04-01,44834
2002-07-01,44938
2002-10-01,44857
2003-01-01,44996
2003-04-01,45312
2003-07-01,45957
2003-10-01,46384
2004-01-01,46560
2004-04-01,46799
2004-07-01,47107
2004-10-01,47396
2005-01-01,47800
2005-04-01,47947
2005-07-01,48228
2005-10-01,48381
2006-01-01,48856
2006-04-01,48891
2006-07-01,48809
2006-10-01,49065
2007-01-01,48987
2007-04-01,49251
2007-07-01,49455
2007-10-01,49506
2008-01-01,49060
2008-04-01,49196
2008-07-01,48841
2008-10-01,47697
2009-01-01,46941
2009-04-01,46781
2009-07-01,46826
2009-10-01,47170
2010-01-01,47280
2010-04-01,47649
2010-07-01,47873
2010-10-01,48077
2011-01-01,47811
2011-04-01,48077
2011-07-01,48082
2011-10-01,48529
2012-01-01,48771
2012-04-01,48917
2012-07-01,48881
2012-10-01,48797
2013-01-01,49066
2013-04-01,49084
2013-07-01,49366
2013-10-01,49749
2014-01-01,49552
2014-04-01,50027
2014-07-01,50565
2014-10-01,50717
2015-01-01,51041
2015-04-01,51305
2015-07-01,51414
2015-10-01,51381
2016-01-01,51377
2016-04-01,51580
2016-07-01,51836
2016-10-01,51966
2017-01-01,52048
